model_id,prompt
nunchaku-qwenimage-t2i-lightning-8steps,"High-end futuristic cover image, full-frame editorial composition. A stylish human subject (androgynous, high-fashion silhouette) stands on a glossy pedestal stage, arm extended toward a floating radiant prism that bursts into luminous particles and miniature image fragments. Electric arcs and speed streaks coil around the prism like controlled lightning, with neon cyan + hot magenta rim light, razor-sharp studio shadows, ultra-clean background, cinematic depth of field. Purely visual iconography only—no readable text, letters, numbers, or logos."
nunchaku-qwenimage-edit-lightning-8steps,"Futuristic editorial cover, full-frame. A single elegant person faces a hovering holographic canvas that’s cleanly split into two states (before/after) with a glowing seam; translucent edit-mask contours wrap the subject like liquid light, with subtle corner handles and soft UI geometry (blank, unreadable). Cool cyan lighting with magenta highlights, immaculate studio shadows, crisp reflections, energetic lightning accents suggesting ultra-fast edits. No readable text, letters, numbers, or logos."
nunchaku-qwenimage-edit-2509-lightning-8steps,"Premium sci-fi cover image. A poised human figure in a minimalist studio reaches through a suspended holographic canvas showing a dramatic transformation split by a luminous edit seam and drifting mask overlay. Surrounding the canvas: a symbolic “2509” motif expressed as abstract geometry—two vertical light pillars, five prismatic shards, a perfect zero-like halo ring, and nine orbiting sparks—arranged as a radiant design element (no characters). Cyan–magenta neon rim light, pristine shadows, kinetic lightning energy, ultra-aesthetic composition. No readable text, letters, numbers, or logos."
zimage-turbo-control,"Ultra-modern sci-fi cover, full-frame. A confident person stands within a faint perspective grid environment, guiding a floating crystalline “control core” with precise hand gestures. Vector guides, edge-maps, contour lines, and alignment rails wrap the central subject like a transparent exoskeleton; turbo light streaks slice diagonally through the scene to imply speed + control. Cool blue/violet lighting with radiant accents, crisp studio shadows, glossy reflections. No readable text, letters, numbers, or logos."
qwenimage-t2i,"Minimalist futuristic cover image. A serene person in soft studio light watches a pristine holographic form emerge from a blank translucent prompt-panel (clean UI shapes without any glyphs), as if thought becomes matter. Gentle cyan glow with restrained magenta accents, elegant negative space, high-end editorial framing, subtle volumetric light and dust motes for a transcendent feel. No readable text, letters, numbers, or logos."
srpo-text-to-image,"Technical sci-fi cover styled like an engineering blueprint—yet luxurious and cinematic. A focused person in a sleek lab coat stands beside a floating geometric prism surrounded by fine drafting lines, measurement ticks, and callout leader lines (abstract, unreadable). Pale cyan studio backdrop, razor-clean linework, luminous edges, subtle filmic grain for depth. Precision-meets-beauty, full-frame cover composition. No readable text, letters, numbers, or logos."
qwenimage-edit,"Editorial futuristic cover emphasizing transformation. A single person is framed in profile while a central subject is presented as a seamless before/after composition split by a translucent edit veil—one side softly diffused, the other crisply refined. Glowing mask boundary ripples like aurora light, elegant studio shadows, cool cyan with neutral highlights and a touch of magenta bloom. No readable text, letters, numbers, or logos."
qwenimage-edit-2509,"Clean futuristic cover image with a refined “variant” signature. A stylish person stands beneath a layered before/after stack of floating image panes, separated by a glowing mask boundary. Around the stack, an abstract “2509” motif appears only as geometry: two slender beams, five crystalline facets, one halo ring, nine tiny orbiting points—subtle, balanced, and radiant. Cool cyan studio light with soft magenta glints, immaculate negative space. No readable text, letters, numbers, or logos."
nunchaku-flux-krea-text-to-image,"Creative, radiant cover image with artistic flair. A captivating person in avant-garde fashion is surrounded by blooming luminous paint-particles that form an abstract sculpture mid-air—soft diffusion, gentle film grain, pastel cyan–violet with warm iridescent highlights. The scene feels like creativity crystallizing into form, editorial composition, high aesthetic polish, dreamy yet sharp subject separation. No readable text, letters, numbers, or logos."
nunchaku-flux-dev-text-to-image,"Precision-driven futuristic cover. A calm, technical person stands in a pristine studio while a sharp geometric construct floats in front of them, wrapped in schematic overlays: calibration ticks, clean gridlines, alignment corners, and thin crosshair guides (all blank/unreadable). High-contrast cyan lighting, crisp edges, controlled reflections, subtly “developer” and engineered. No readable text, letters, numbers, or logos."
