model_id,prompt
nunchaku-qwenimage-t2i-lightning-8steps,"A serene, high-fashion sci-fi portrait of a person emerging from luminous mist, their silhouette forming rapidly from soft light particles. The environment feels weightless and instantaneous, with flowing translucent veils suggesting speed without motion. Pale cyan glow, diffused studio lighting, calm yet powerful presence."
nunchaku-qwenimage-edit-lightning-8steps,"An elegant editorial scene of a person standing behind a translucent glass veil, their appearance subtly shifting across the surface as if being refined in real time. The transformation is seamless and immediate, expressed through layered transparency and soft cyan illumination."
nunchaku-qwenimage-edit-2509-lightning-8steps,"A refined portrait of a person seen through multiple offset glass planes, each plane presenting a slightly altered version of their expression and posture. The edits feel intentional and precise, suspended in a calm, luminous studio space."
zimage-turbo-control,"A composed individual seated at the center of a quiet, geometric environment, surrounded by faint perspective planes and floating translucent structures that respond to their presence. The person appears fully in control, calm and deliberate, bathed in cool cyan light."
qwenimage-t2i,"A solitary figure standing in a soft, empty studio as an imagined world gently materializes around them from light and haze. The person appears contemplative, as if the environment itself is responding to their thoughts. Ethereal, minimal, and transcendent."
srpo-text-to-image,"A person posed like a living sculpture within a pristine studio, their form intersected by faint geometric projections and drafting-like light patterns. The scene feels analytical yet poetic, blending human presence with structured precision."
qwenimage-edit,"An editorial portrait of a person partially obscured by a translucent veil, with subtle variations of their face and posture visible beneath the surface. The transformation feels controlled, gentle, and intentional, lit with soft cyan tones."
qwenimage-edit-2509,"A person framed within layered glass sheets, each layer revealing a refined version of their appearance. The depth suggests iterative improvement, all rendered with calm lighting and refined editorial composition."
nunchaku-flux-krea-text-to-image,"A dreamlike portrait of a person surrounded by abstract, painterly light forms that bloom organically around them. The scene feels expressive and imaginative, with soft pastel cyan and lavender tones and subtle film grain."
nunchaku-flux-dev-text-to-image,"A focused individual standing within a clean, structured space, their silhouette intersected by faint schematic light planes. The atmosphere is precise and technical, yet softened by translucent materials and calm studio lighting."
zimage-turbo,"A poised figure suspended in a quiet moment as gentle light gradients flow around them, suggesting power held in reserve. The scene feels minimal and controlled, with speed implied through subtle environmental distortion."
nunchaku-flux-dev-kontext,"A person interacting with their environment as visual references subtly influence the space around them. Elements in the scene echo external inspiration, converging naturally into a cohesive, translucent composition."
flux-krea-text-to-image,"A contemplative portrait of a person surrounded by softly glowing abstract shapes, as if creativity itself is manifesting around them. The mood is elegant, expressive, and artistic, rendered in muted cyan and lavender hues."
flux-dev-text-to-image,"A calm, confident figure positioned within a pristine studio where faint alignment lines and volumetric light structures frame their form. The aesthetic is controlled, technical, and minimal."
flux-dev-kontext,"A person standing between two softly lit environments, one subtly influencing the other through translucent connections. The scene suggests contextual understanding, calm synthesis, and quiet intelligence."
chroma-hd-text-to-image,"A striking portrait of a person illuminated by pure, refracted light that subtly separates into a full chromatic spectrum across their skin and surroundings. The scene emphasizes clarity, color depth, and visual fidelity."
wan-2-1-14b-multitalk,"A cinematic editorial scene featuring a central person surrounded by multiple translucent silhouettes or reflections, each suggesting a different voice or presence. The composition feels harmonious and conversational, bathed in soft cyan light."
wan-2-1-14b-infinitetalk,"A person enveloped by a continuous, flowing ribbon of light that loops endlessly through space, suggesting uninterrupted dialogue. The atmosphere is calm, infinite, and contemplative."
wan-lynx-14b,"A refined portrait of a person with a subtle, animalistic elegance in their posture and gaze. The environment is sleek and luminous, with quiet confidence and restrained power."
hunyuanvideo15-t2v,"A person frozen in a poised cinematic moment, with faint motion echoes trailing behind them as if time is about to unfold. The composition feels like the beginning of a story, softly lit and cinematic."
wan-lynx-14b-lite,"A minimal editorial portrait of a person in a spacious, airy environment, reduced to essential forms and light. The mood is quiet, elegant, and lightweight."
hunyuanvideo15-i2v-480p,"A person transitioning from stillness into gentle motion, with subtle visual artifacts suggesting a lower-resolution cinematic texture. The scene remains clean, calm, and editorial."
wan-2-2-fun-a14b-vace,"An expressive portrait of a person surrounded by playful, painterly light strokes and translucent overlays. The mood is creative and joyful, yet refined and balanced."
wan-2-1-14b-text-to-video,"A composed individual standing as faint motion paths begin to emerge around them, suggesting narrative unfolding from intention. The scene feels deliberate, cinematic, and controlled."
wan-2-2-fun-a14b-control,"A person calmly manipulating their environment as translucent grids and light planes subtly align to their gestures. The scene conveys mastery and creative control."
wan-2-2-a14b-image-to-video,"A still portrait of a person with the environment softly transitioning into motion around them, as if the moment is awakening into time. Clean, modern, and cinematic."
wan-2-2-a14b-first-frame-last-frame,"A person positioned between two luminous states of themselves, one representing a beginning and the other an ending. The space between them feels temporal and reflective."
wan-2-2-a14b-text-to-video,"A focused individual standing in a calm studio as faint cinematic motion structures form from light around them. The environment suggests intentional storytelling."
wan-2-2-14b-animate,"A graceful figure captured mid-movement, with multiple translucent motion echoes arranged around them in a circular rhythm. The scene emphasizes fluid animation and elegance."
wan-2-2-a14b-text-image-to-video,"A person at the center of converging influences, with visual elements and motion paths flowing together into a unified cinematic space. Calm, balanced, and refined."
wan-2.1-14b-vace-reference-to-video,"A person inspired by an external visual presence, with the environment subtly reshaping itself to match that influence. The transformation feels guided and intentional."
wan-2.1-14b-vace-painting,"A painterly portrait of a person rendered with soft brush-like light textures, as if the scene itself is being painted into motion. Warm cyan tones with artistic depth."
wan-2.1-14b-vace-expand-swap,"A person framed by expanding and shifting translucent spaces, suggesting reconfiguration and exchange. The environment remains calm and controlled."
wan-2.1-14b-vace-control,"A composed individual surrounded by faint alignment planes and structured light forms that respond precisely to their posture. Precision and calm dominate the scene."
wan-2-1-14b-image-to-video-480p,"A person captured in a quiet moment as gentle motion begins to unfold around them with a slightly softened cinematic texture. Minimal, clean, and editorial."
